Datetime,Open,High,Low,Close,Volume
2020-11-02 00:00:00+00:00,13761.49,13830.0,13761.49,13801.63,2509.155684
2020-11-02 01:00:00+00:00,13801.63,13813.37,13749.86,13752.65,1408.280118
2020-11-02 02:00:00+00:00,13752.66,13766.72,13656.41,13717.84,2087.458211
2020-11-02 03:00:00+00:00,13717.84,13735.88,13648.09,13697.54,1519.311938
2020-11-02 04:00:00+00:00,13697.54,13722.54,13647.78,13699.45,1260.858619
2020-11-02 05:00:00+00:00,13699.44,13706.78,13640.0,13686.75,1198.718067
2020-11-02 06:00:00+00:00,13687.37,13758.97,13676.59,13734.02,1654.228652
2020-11-02 07:00:00+00:00,13734.03,13759.26,13710.95,13740.99,1287.163623
2020-11-02 08:00:00+00:00,13740.99,13741.0,13420.0,13446.65,6697.950987
2020-11-02 09:00:00+00:00,13446.65,13580.94,13417.47,13571.64,3901.357519
2020-11-02 10:00:00+00:00,13571.64,13571.64,13461.08,13492.7,2117.195794
2020-11-02 11:00:00+00:00,13492.7,13513.16,13357.42,13402.18,6135.923579
2020-11-02 12:00:00+00:00,13402.18,13427.51,13195.05,13297.56,7938.895108
2020-11-02 13:00:00+00:00,13297.57,13440.04,13278.05,13392.19,3783.846793
2020-11-02 14:00:00+00:00,13392.19,13505.66,13335.97,13468.75,3500.057214
2020-11-02 15:00:00+00:00,13468.75,13541.85,13447.66,13499.0,2891.995917
2020-11-02 16:00:00+00:00,13498.6,13545.0,13474.87,13517.14,2634.562626
2020-11-02 17:00:00+00:00,13517.13,13548.89,13485.08,13512.51,1675.138828
2020-11-02 18:00:00+00:00,13512.51,13530.49,13447.81,13458.26,1612.614046
2020-11-02 19:00:00+00:00,13458.27,13555.41,13455.21,13553.65,1424.921978
2020-11-02 20:00:00+00:00,13553.65,13700.0,13547.98,13663.37,3065.675731
2020-11-02 21:00:00+00:00,13663.44,13668.51,13595.66,13605.0,1779.405239
2020-11-02 22:00:00+00:00,13605.0,13648.68,13548.71,13585.0,1291.35785
2020-11-02 23:00:00+00:00,13585.0,13606.04,13534.15,13549.37,1190.347787
2020-11-03 00:00:00+00:00,13549.63,13575.49,13437.0,13528.16,2157.078917
2020-11-03 01:00:00+00:00,13528.16,13607.1,13527.33,13596.56,1245.999893
2020-11-03 02:00:00+00:00,13596.56,13642.0,13387.05,13432.16,3233.481331
2020-11-03 03:00:00+00:00,13432.17,13476.0,13310.0,13391.96,4633.229414
2020-11-03 04:00:00+00:00,13391.95,13421.25,13311.29,13417.9,3731.988928
2020-11-03 05:00:00+00:00,13417.9,13449.82,13351.01,13372.3,2333.417051
2020-11-03 06:00:00+00:00,13372.3,13454.01,13284.99,13423.17,3976.54059
2020-11-03 07:00:00+00:00,13423.17,13448.6,13392.0,13444.3,2695.893629
2020-11-03 08:00:00+00:00,13443.3,13555.47,13404.45,13516.43,3720.353889
2020-11-03 09:00:00+00:00,13516.43,13604.0,13474.28,13561.88,2863.808405
2020-11-03 10:00:00+00:00,13561.88,13579.32,13493.23,13550.62,2561.231391
2020-11-03 11:00:00+00:00,13550.62,13554.7,13467.96,13532.14,3024.151601
2020-11-03 12:00:00+00:00,13532.15,13550.0,13471.0,13514.68,2174.649741
2020-11-03 13:00:00+00:00,13514.67,13740.78,13484.36,13699.71,5121.2017
2020-11-03 14:00:00+00:00,13699.71,13790.0,13671.54,13784.59,3689.089263
2020-11-03 15:00:00+00:00,13784.6,13798.0,13676.65,13710.38,4314.145318
2020-11-03 16:00:00+00:00,13710.39,13749.88,13680.34,13716.87,2305.931318
2020-11-03 17:00:00+00:00,13716.87,13769.33,13705.71,13731.49,1951.389614
2020-11-03 18:00:00+00:00,13731.49,13780.0,13729.78,13741.22,1735.81156
2020-11-03 19:00:00+00:00,13741.22,13770.0,13717.31,13721.27,1370.412098
2020-11-03 20:00:00+00:00,13721.27,13768.13,13694.8,13731.63,1593.056143
2020-11-03 21:00:00+00:00,13731.64,13779.25,13727.42,13732.96,1478.626354
2020-11-03 22:00:00+00:00,13732.96,13845.0,13650.0,13824.19,3513.22687
2020-11-03 23:00:00+00:00,13824.19,14066.11,13824.19,14023.53,8690.915769
2020-11-04 00:00:00+00:00,14023.53,14044.55,13779.0,13794.67,4953.388511
2020-11-04 01:00:00+00:00,13798.39,13868.52,13713.0,13812.21,4082.654012
2020-11-04 02:00:00+00:00,13812.21,13872.91,13700.0,13756.06,3971.188978
2020-11-04 03:00:00+00:00,13756.06,13954.99,13756.06,13897.51,4768.6572
2020-11-04 04:00:00+00:00,13897.51,13920.99,13828.44,13897.01,3049.293247
2020-11-04 05:00:00+00:00,13897.01,13928.26,13786.54,13796.86,2635.732164
2020-11-04 06:00:00+00:00,13796.9,13840.22,13751.0,13803.58,2404.995885
2020-11-04 07:00:00+00:00,13803.59,13817.0,13525.0,13600.46,5709.916092
2020-11-04 08:00:00+00:00,13600.46,13694.53,13569.51,13645.23,3281.674835
2020-11-04 09:00:00+00:00,13645.22,13696.84,13636.5,13653.77,2883.935333
2020-11-04 10:00:00+00:00,13653.77,13756.97,13608.0,13688.7,3121.853522
2020-11-04 11:00:00+00:00,13688.7,13744.01,13655.55,13720.99,2109.459421
2020-11-04 12:00:00+00:00,13721.0,13843.61,13701.0,13824.68,3183.893447
2020-11-04 13:00:00+00:00,13824.68,13895.0,13786.87,13835.13,2899.775751
2020-11-04 14:00:00+00:00,13835.13,13850.0,13737.12,13839.99,3094.465542
2020-11-04 15:00:00+00:00,13839.99,13925.0,13839.98,13911.47,3612.227915
2020-11-04 16:00:00+00:00,13911.47,14035.0,13881.05,14024.01,7186.171569
2020-11-04 17:00:00+00:00,14024.01,14259.0,14023.01,14068.97,11732.558315
2020-11-04 18:00:00+00:00,14068.97,14120.0,14017.04,14086.71,3885.077509
2020-11-04 19:00:00+00:00,14086.72,14111.6,14070.0,14102.26,1938.393471
2020-11-04 20:00:00+00:00,14102.26,14146.13,13931.64,14035.0,3948.010687
2020-11-04 21:00:00+00:00,14035.01,14100.0,13980.01,13998.8,2101.101481
2020-11-04 22:00:00+00:00,13998.8,14250.0,13997.77,14140.94,4506.131872
2020-11-04 23:00:00+00:00,14141.03,14159.37,14060.81,14144.01,1956.431503
2020-11-05 00:00:00+00:00,14144.01,14201.0,14093.56,14105.09,2142.985686
2020-11-05 01:00:00+00:00,14105.09,14180.66,14096.14,14139.03,1822.795411
2020-11-05 02:00:00+00:00,14139.04,14319.0,14120.54,14234.32,5420.347216
2020-11-05 03:00:00+00:00,14234.33,14372.73,14234.33,14311.29,4134.960743
2020-11-05 04:00:00+00:00,14311.09,14353.67,14250.0,14291.42,2853.749575
2020-11-05 05:00:00+00:00,14291.42,14330.0,14250.0,14316.71,2204.695039
2020-11-05 06:00:00+00:00,14316.71,14381.28,14280.18,14335.18,4631.304659
2020-11-05 07:00:00+00:00,14335.18,14508.25,14323.22,14475.87,6796.73293
2020-11-05 08:00:00+00:00,14476.18,14548.0,14337.45,14444.09,5357.531349
2020-11-05 09:00:00+00:00,14444.09,14494.46,14366.03,14462.37,3320.512622
2020-11-05 10:00:00+00:00,14462.38,14648.0,14446.0,14648.0,5699.241854
2020-11-05 11:00:00+00:00,14647.76,14740.0,14511.54,14717.6,8550.508879
2020-11-05 12:00:00+00:00,14717.61,14920.0,14600.0,14870.14,10158.928944
2020-11-05 13:00:00+00:00,14870.13,14970.0,14666.0,14812.19,10536.077077
2020-11-05 14:00:00+00:00,14812.19,14910.01,14780.0,14894.46,5649.766257
2020-11-05 15:00:00+00:00,14894.46,15148.0,14838.47,15080.26,9144.744509
2020-11-05 16:00:00+00:00,15080.25,15300.0,15080.0,15155.87,10365.388583
2020-11-05 17:00:00+00:00,15155.88,15225.0,14550.0,15037.66,11011.794993
